manufacturer_code,aircraft_icao,model_no,model,country
BOEING,B78X,787-10 Dreamliner,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,ST75,75,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B701,707-100,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B703,707-300,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B712,717-200,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B712,717-200,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B720,720,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B721,727-100,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,R721,727-100RE,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B722,727-200,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,R722,727-200RE,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B732,737-200,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B732,737-200,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B733,737-300,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B734,737-400,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B735,737-500,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B736,737-600,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B737,737-700,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B737,737-700,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,E737,737-700,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B738,737-800,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B738,737-800,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B739,737-900,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B739,737-900 BBJ3,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B741,747-100,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B742,747-200,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B743,747-300,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,BLCF,747-400LCF,Boeing Phantom Eye,ÉTATS-UNIS
BOEING,B74S,747SP,Boeing Phantom Eye,ÉTATS-UNIS
